,symbols,date,close,open,max_price,min_price
0,TCB,2024-07-02,22900.0,22850.0,23200.0,22650.0
1,HPG,2024-07-02,28700.0,28350.0,28850.0,28250.0
2,VHM,2024-07-02,38150.0,37750.0,38350.0,37550.0
3,POW,2024-07-02,14500.0,14700.0,14700.0,14400.0
4,FPT,2024-07-02,128000.0,128600.0,132100.0,127500.0
5,VHM,2024-07-01,37250.0,37650.0,37700.0,37100.0
6,FPT,2024-07-01,129000.0,130400.0,130400.0,128500.0
7,TCB,2024-07-01,22750.0,23100.0,23100.0,22750.0
8,HPG,2024-07-01,28150.0,28300.0,28500.0,28050.0
9,POW,2024-07-01,14500.0,14800.0,14900.0,14400.0
10,VHM,2024-06-28,37650.0,37600.0,37750.0,37300.0
11,HPG,2024-06-28,28300.0,28750.0,28900.0,28300.0
12,TCB,2024-06-28,23350.0,23450.0,23500.0,22500.0
13,FPT,2024-06-28,130500.0,132800.0,132800.0,130400.0
14,POW,2024-06-28,14900.0,14750.0,15000.0,14450.0
15,POW,2024-06-27,14750.0,15300.0,15300.0,14750.0
16,HPG,2024-06-27,28850.0,29000.0,29050.0,28700.0
17,FPT,2024-06-27,132800.0,131300.0,134100.0,130800.0
18,TCB,2024-06-27,23450.0,23650.0,23700.0,23350.0
19,VHM,2024-06-27,37600.0,37500.0,37850.0,37350.0
20,TCB,2024-06-26,24000.0,23950.0,24000.0,23550.0
21,FPT,2024-06-26,131800.0,131000.0,131800.0,129400.0
22,HPG,2024-06-26,28900.0,28750.0,29200.0,28600.0
23,POW,2024-06-26,15300.0,15000.0,15500.0,15000.0
24,VHM,2024-06-26,37500.0,37800.0,38150.0,37500.0
25,HPG,2024-06-25,28700.0,28600.0,29050.0,28500.0
26,FPT,2024-06-25,130000.0,131000.0,131100.0,128600.0
27,TCB,2024-06-25,24000.0,23950.0,24000.0,23400.0
28,VHM,2024-06-25,37800.0,37300.0,38050.0,37200.0
29,POW,2024-06-25,15000.0,15200.0,15200.0,14700.0
30,FPT,2024-06-24,132100.0,135000.0,135500.0,132000.0
31,VHM,2024-06-24,37450.0,37750.0,38200.0,37100.0
32,POW,2024-06-24,15000.0,14700.0,15300.0,14400.0
33,TCB,2024-06-24,23950.0,24500.0,24500.0,23600.0
34,HPG,2024-06-24,28700.0,29000.0,29100.0,28250.0
35,FPT,2024-06-21,136100.0,133900.0,136100.0,133300.0
